num_recreated_workers,episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/grad_wait_time_ms,timers/apply_grad_time_ms,timers/apply_grad_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
0,nan,nan,nan,nan,0,0,1,2200,2200,1100,1100,1100,1100,1100,1100,2200,False,0,1,009e7_00000,84677fa4f5d945aaa2c3416b3d5bad35,2022-12-17_09-56-42,1671271002,5.5189244747161865,5.5189244747161865,8528,1ec1cd5bf031,172.17.0.2,5.5189244747161865,0,1,34.35716485977173,1100,1100,2200,2200,nan,nan,nan,nan,0,0,[],[],0.123,0.114,9.068,22055.376,15.058,1100,1100,2200,2200,16.05,6.3875,[],[]
0,0.0,0.0,0.0,1499.0,1,0,1,4000,4000,2000,2000,900,900,2000,900,4000,False,1,2,009e7_00000,84677fa4f5d945aaa2c3416b3d5bad35,2022-12-17_09-56-48,1671271008,5.188175678253174,10.70710015296936,8528,1ec1cd5bf031,172.17.0.2,10.70710015296936,0,2,34.35716485977173,2000,2000,4000,4000,0.0,0.0,0.0,1499.0,1,0,[0.0],[1499],0.12,0.112,8.994,22237.147,13.308,2000,2000,4000,4000,18.2125,6.4,[0.0],[1499]
0,0.0,0.0,0.0,1499.0,0,0,1,5800,5800,2900,2900,900,900,2900,900,5800,False,1,3,009e7_00000,84677fa4f5d945aaa2c3416b3d5bad35,2022-12-17_09-56-53,1671271013,5.0656898021698,15.77278995513916,8528,1ec1cd5bf031,172.17.0.2,15.77278995513916,0,3,34.35716485977173,2900,2900,5800,5800,0.0,0.0,0.0,1499.0,0,0,[0.0],[1499],0.123,0.115,8.726,22919.13,12.705,2900,2900,5800,5800,17.857142857142858,6.3999999999999995,[0.0],[1499]
0,4.6368286445012785,0.0,2.3184143222506393,1649.0,1,0,1,7600,7600,3800,3800,900,900,3800,900,7600,False,2,4,009e7_00000,84677fa4f5d945aaa2c3416b3d5bad35,2022-12-17_09-56-58,1671271018,5.159193277359009,20.93198323249817,8528,1ec1cd5bf031,172.17.0.2,20.93198323249817,0,4,34.35716485977173,3800,3800,7600,7600,4.6368286445012785,0.0,2.3184143222506393,1649.0,1,0,"[0.0, 4.6368286445012785]","[1499, 1799]",0.135,0.125,8.951,22343.762,12.804,3800,3800,7600,7600,18.214285714285715,6.3999999999999995,"[0.0, 4.6368286445012785]","[1499, 1799]"
0,10.888888888888888,0.0,5.175239177796722,1632.3333333333333,1,0,1,9600,9600,4800,4800,1000,1000,4800,1000,9600,False,3,5,009e7_00000,84677fa4f5d945aaa2c3416b3d5bad35,2022-12-17_09-57-04,1671271024,5.700001955032349,26.631985187530518,8528,1ec1cd5bf031,172.17.0.2,26.631985187530518,0,5,34.35716485977173,4800,4800,9600,9600,10.888888888888888,0.0,5.175239177796722,1632.3333333333333,1,0,"[0.0, 4.6368286445012785, 10.888888888888888]","[1499, 1799, 1599]",2.647,0.237,9.062,22070.812,14.385,4800,4800,9600,9600,17.1,6.4,"[0.0, 4.6368286445012785, 10.888888888888888]","[1499, 1799, 1599]"
0,10.888888888888888,0.0,5.175239177796722,1632.3333333333333,0,0,1,11600,11600,5800,5800,1000,1000,5800,1000,11600,False,3,6,009e7_00000,84677fa4f5d945aaa2c3416b3d5bad35,2022-12-17_09-57-09,1671271029,5.504542350769043,32.13652753829956,8528,1ec1cd5bf031,172.17.0.2,32.13652753829956,0,6,34.35716485977173,5800,5800,11600,11600,10.888888888888888,0.0,5.175239177796722,1632.3333333333333,0,0,"[0.0, 4.6368286445012785, 10.888888888888888]","[1499, 1799, 1599]",0.14,0.13,9.34,21413.221,13.179,5800,5800,11600,11600,18.74285714285714,6.3999999999999995,"[0.0, 4.6368286445012785, 10.888888888888888]","[1499, 1799, 1599]"
0,10.888888888888888,0.0,5.175239177796722,1632.3333333333333,0,0,1,13600,13600,6800,6800,1000,1000,6800,1000,13600,False,3,7,009e7_00000,84677fa4f5d945aaa2c3416b3d5bad35,2022-12-17_09-57-14,1671271034,5.0554444789886475,37.19197201728821,8528,1ec1cd5bf031,172.17.0.2,37.19197201728821,0,7,34.35716485977173,6800,6800,13600,13600,10.888888888888888,0.0,5.175239177796722,1632.3333333333333,0,0,"[0.0, 4.6368286445012785, 10.888888888888888]","[1499, 1799, 1599]",2.599,0.236,8.917,22429.493,14.257,6800,6800,13600,13600,17.450000000000003,6.4,"[0.0, 4.6368286445012785, 10.888888888888888]","[1499, 1799, 1599]"
0,10.888888888888888,0.0,6.2935924339721305,1799.0,1,0,1,15200,15200,7600,7600,800,800,7600,800,15200,False,4,8,009e7_00000,84677fa4f5d945aaa2c3416b3d5bad35,2022-12-17_09-57-19,1671271039,5.059817314147949,42.25178933143616,8528,1ec1cd5bf031,172.17.0.2,42.25178933143616,0,8,34.35716485977173,7600,7600,15200,15200,10.888888888888888,0.0,6.2935924339721305,1799.0,1,0,"[0.0, 4.6368286445012785, 10.888888888888888, 9.648652202498356]","[1499, 1799, 1599, 2299]",0.158,0.145,9.138,21887.113,12.834,7600,7600,15200,15200,18.699999999999996,6.3999999999999995,"[0.0, 4.6368286445012785, 10.888888888888888, 9.648652202498356]","[1499, 1799, 1599, 2299]"
0,10.888888888888888,0.0,6.2935924339721305,1799.0,0,0,1,17200,17200,8600,8600,1000,1000,8600,1000,17200,False,4,9,009e7_00000,84677fa4f5d945aaa2c3416b3d5bad35,2022-12-17_09-57-25,1671271045,5.069773197174072,47.32156252861023,8528,1ec1cd5bf031,172.17.0.2,47.32156252861023,0,9,34.35716485977173,8600,8600,17200,17200,10.888888888888888,0.0,6.2935924339721305,1799.0,0,0,"[0.0, 4.6368286445012785, 10.888888888888888, 9.648652202498356]","[1499, 1799, 1599, 2299]",2.638,0.19,8.871,22545.779,12.638,8600,8600,17200,17200,18.2,6.3999999999999995,"[0.0, 4.6368286445012785, 10.888888888888888, 9.648652202498356]","[1499, 1799, 1599, 2299]"
0,10.888888888888888,0.0,6.2935924339721305,1799.0,0,0,1,19000,19000,9500,9500,900,900,9500,900,19000,False,4,10,009e7_00000,84677fa4f5d945aaa2c3416b3d5bad35,2022-12-17_09-57-30,1671271050,5.470988512039185,52.792551040649414,8528,1ec1cd5bf031,172.17.0.2,52.792551040649414,0,10,34.35716485977173,9500,9500,19000,19000,10.888888888888888,0.0,6.2935924339721305,1799.0,0,0,"[0.0, 4.6368286445012785, 10.888888888888888, 9.648652202498356]","[1499, 1799, 1599, 2299]",0.127,0.118,9.038,22129.034,13.233,9500,9500,19000,19000,18.775,6.4,"[0.0, 4.6368286445012785, 10.888888888888888, 9.648652202498356]","[1499, 1799, 1599, 2299]"
